employee_id,age,gender,education,department,experience_years,salary,training_hours,projects_completed,avg_monthly_hours,satisfaction_score,last_promotion_years,absenteeism_days,peer_review_score,manager_rating,performance_score,performance_label
1047,57,Male,Master,HR,36,101201,76,7,265,1.2,2,22,4.8,3.1,2.46,Low
1048,25,Female,Bachelor,Operations,5,48519,59,21,242,4.9,2,1,3.5,3.2,3.53,High
1049,23,Female,Bachelor,Finance,2,43659,26,9,198,3.7,5,29,2.5,2.6,1.7,Low
1050,27,Female,Master,Marketing,4,52153,81,13,260,4.6,5,0,3.9,2.4,3.09,Medium
1051,25,Male,Bachelor,Engineering,4,45161,44,17,234,5.0,5,13,4.4,4.9,3.93,High
1052,50,Female,Master,Marketing,26,85336,61,17,233,2.6,4,12,4.2,1.2,2.97,Medium
1053,39,Male,High School,Marketing,18,60598,23,15,191,2.0,3,2,2.1,2.6,2.31,Low
1054,47,Male,Master,Operations,25,85978,45,18,155,1.7,8,26,2.7,1.6,1.86,Low
1055,55,Male,Bachelor,Marketing,32,83276,77,24,194,3.1,3,19,2.8,3.9,3.6,High
1056,31,Female,Bachelor,HR,10,56758,43,15,276,3.4,0,24,2.6,1.8,1.51,Low
1057,57,Male,Bachelor,Operations,33,87980,62,11,275,2.9,7,4,2.2,4.5,2.64,Medium
1058,35,Female,Bachelor,Marketing,12,55361,3,12,248,2.5,7,1,4.0,2.5,1.82,Low
1059,52,Female,Bachelor,Operations,28,82368,15,23,233,1.7,2,25,1.0,4.7,2.02,Low
1060,36,Male,Bachelor,Finance,16,67652,50,17,146,2.8,8,20,2.2,4.9,2.8,Medium
1061,29,Male,Bachelor,Operations,7,47946,73,12,272,1.3,6,28,1.6,4.1,2.22,Low
1062,35,Male,Bachelor,Sales,15,67274,90,7,279,4.5,6,17,1.5,3.5,2.58,Medium
1063,44,Male,High School,HR,22,65601,47,24,220,1.2,4,8,2.1,1.6,2.05,Low
1064,42,Male,Bachelor,Engineering,21,71551,64,7,227,2.5,2,21,4.0,4.7,2.87,Medium
1065,37,Female,Master,Sales,14,69517,68,21,247,1.4,9,27,4.9,4.1,3.2,Medium
1066,39,Male,High School,Sales,18,56802,76,23,222,4.1,4,27,3.1,2.2,3.74,High
1067,45,Female,Master,Sales,23,81875,44,10,184,2.3,2,11,2.4,2.9,2.21,Low
1068,47,Male,Master,Marketing,25,90350,2,16,219,1.5,2,4,4.3,1.3,2.22,Low
1069,46,Female,Master,Operations,24,87744,16,11,164,3.1,0,17,1.3,3.6,1.42,Low
1070,50,Female,Master,Operations,26,90389,82,16,166,4.7,3,22,1.4,1.5,3.03,Medium
1071,36,Female,Bachelor,Marketing,13,60748,36,2,190,4.6,8,22,2.4,3.6,2.39,Low
1072,22,Female,Master,HR,1,47471,4,2,258,2.0,5,1,2.8,3.7,1.64,Low
1073,46,Male,Bachelor,Marketing,25,79636,46,18,247,3.9,5,9,4.2,2.3,2.61,Medium
1074,28,Male,Master,Marketing,8,66517,43,5,199,1.1,5,21,4.7,4.8,2.3,Low
1075,30,Female,Master,Marketing,8,65344,87,14,211,1.5,4,9,3.1,4.1,2.84,Medium
1076,45,Female,High School,HR,23,63460,32,8,219,3.0,1,25,3.0,3.0,2.19,Low
1077,22,Female,Bachelor,HR,0,38086,20,6,211,1.9,4,2,1.9,4.7,1.82,Low
1078,29,Male,Bachelor,Finance,8,55921,66,9,235,4.2,9,23,2.8,4.4,2.74,Medium
1079,45,Male,Master,Finance,25,86467,67,6,265,4.7,2,13,4.7,3.8,3.87,High
1080,32,Male,Bachelor,Finance,8,51951,31,21,235,1.0,9,4,2.6,1.6,1.8,Low
1081,38,Female,Bachelor,Finance,15,61502,23,17,278,1.9,1,23,1.8,3.0,1.96,Low
1082,29,Female,Bachelor,Operations,5,44832,34,8,248,2.8,3,22,2.3,4.5,2.31,Low
1083,56,Female,Bachelor,Sales,35,97265,17,3,145,3.3,9,29,3.1,3.4,1.64,Low
1084,56,Male,PhD,Sales,34,115375,66,12,161,4.7,8,12,3.4,3.2,3.48,Medium
1085,54,Female,Master,Finance,31,92185,53,13,242,4.6,6,26,2.7,4.8,3.27,Medium
1086,26,Female,Bachelor,Finance,5,46388,25,18,151,3.5,9,23,4.0,1.1,1.8,Low
1087,49,Male,High School,Engineering,28,76771,59,23,166,2.0,8,27,3.3,1.0,2.66,Medium
1088,28,Female,Bachelor,Sales,7,46468,87,11,268,4.1,2,16,3.7,4.6,3.99,High
1089,30,Male,Bachelor,Engineering,7,52820,64,2,219,1.8,1,5,4.5,1.2,1.82,Low
1090,29,Male,Master,Engineering,6,56033,50,14,199,4.9,8,28,4.5,2.3,2.54,Medium
1091,33,Male,Bachelor,Marketing,13,61575,97,1,255,1.0,5,28,1.8,4.7,2.1,Low
1092,55,Female,Bachelor,Operations,35,92761,59,15,209,3.3,9,26,3.5,3.8,2.87,Medium
1093,54,Female,Master,HR,30,98959,58,18,175,1.4,3,12,3.9,3.6,2.76,Medium
1094,44,Female,Master,Sales,21,77145,75,22,268,2.6,3,28,1.6,3.6,3.2,Medium
1095,45,Female,Bachelor,Finance,22,72121,16,18,191,3.5,9,11,4.4,2.3,2.33,Low
1096,58,Female,High School,Finance,35,85612,84,17,269,3.8,9,2,1.7,3.1,3.35,Medium
1097,56,Female,Bachelor,HR,36,98271,20,1,276,4.1,5,29,4.2,3.5,2.25,Low
1098,43,Male,Master,Sales,22,84436,66,14,250,3.4,6,15,1.6,2.2,2.54,Medium
1099,48,Female,PhD,Finance,26,107828,27,20,227,2.0,9,4,4.0,4.2,2.55,Medium
1100,56,Male,High School,Finance,36,86097,88,24,187,4.6,4,1,1.6,2.3,3.21,Medium
1101,22,Female,High School,Marketing,0,33292,43,22,244,4.2,7,10,2.5,1.3,2.28,Low
1102,56,Female,Master,Engineering,36,104586,69,16,181,1.6,9,3,1.6,1.8,1.87,Low
1103,58,Female,Master,Finance,34,96868,61,4,233,4.3,0,21,2.1,2.6,1.83,Low
1104,35,Female,PhD,Operations,12,83914,41,22,184,4.9,0,0,4.9,4.6,4.25,High
1105,24,Male,Bachelor,Sales,0,43213,93,6,269,3.5,3,12,1.4,2.7,2.56,Medium
1106,22,Female,Bachelor,Operations,0,41355,95,16,243,2.1,7,17,2.6,1.4,3.32,Medium
1107,26,Male,Bachelor,HR,6,45903,21,20,246,3.4,7,15,3.7,1.8,2.55,Medium
1108,47,Female,Bachelor,Marketing,26,76576,37,6,178,2.4,5,1,1.4,3.2,1.4,Low
1109,35,Female,Bachelor,Sales,13,58609,13,15,273,3.7,4,8,1.4,1.7,1.84,Low
1110,48,Male,Bachelor,Marketing,24,75614,97,1,166,3.2,9,26,1.6,1.3,2.3,Low
1111,30,Female,High School,Engineering,10,48014,25,7,158,4.7,9,11,3.6,3.9,2.66,Medium
1112,36,Female,Master,Finance,15,70793,39,23,203,3.5,1,4,4.6,4.1,3.25,Medium
1113,36,Other,Bachelor,Sales,16,60935,53,11,190,1.9,4,4,4.3,4.4,3.02,Medium
1114,47,Female,Master,HR,23,80115,12,1,196,3.9,4,21,4.9,4.4,1.87,Low
1115,34,Male,Bachelor,Engineering,12,58057,93,8,159,2.2,1,12,3.3,2.5,2.74,Medium
1116,53,Male,Master,Engineering,33,102978,18,14,159,2.1,7,15,4.8,3.9,2.62,Medium
1117,53,Male,Bachelor,Marketing,30,81923,41,5,221,2.6,9,25,2.2,3.3,1.74,Low
1118,25,Female,Master,Engineering,4,57455,40,13,240,1.0,4,18,2.7,1.1,1.79,Low
1119,51,Female,High School,Sales,31,79104,49,15,177,4.9,4,8,2.6,2.6,2.87,Medium
1120,58,Male,Bachelor,Marketing,37,98652,2,9,177,3.1,0,15,1.2,1.2,1.3,Low
1121,44,Female,Master,Engineering,21,79273,30,8,204,4.1,0,18,4.3,1.3,2.33,Low
1122,36,Female,Bachelor,HR,14,61193,75,19,215,2.0,0,3,1.1,1.2,2.33,Low
1123,50,Male,Bachelor,Operations,28,86184,14,17,272,4.0,7,27,3.9,4.8,3.15,Medium
1124,57,Male,Master,Sales,34,105776,53,19,262,3.3,9,14,2.6,4.4,3.09,Medium
1125,34,Male,Master,HR,13,66403,52,18,264,2.7,1,8,1.0,2.8,2.58,Medium
1126,53,Male,High School,HR,33,83567,44,18,166,4.9,7,15,2.2,2.0,3.09,Medium
1127,28,Male,Bachelor,Marketing,5,42643,37,4,242,3.0,5,25,2.4,1.3,1.75,Low
1128,43,Male,Bachelor,Finance,19,70996,77,2,159,3.6,4,23,4.9,2.7,2.43,Low
1129,49,Female,Bachelor,Marketing,28,79256,98,24,199,1.1,5,5,3.6,3.4,3.63,High
1130,23,Male,PhD,Sales,1,70814,79,5,222,2.2,3,7,3.2,4.2,2.75,Medium
1131,27,Male,Bachelor,Sales,4,41699,49,17,145,4.6,2,0,1.5,1.2,2.41,Low
1132,49,Male,Bachelor,Marketing,27,81818,23,22,251,4.0,3,13,2.6,2.7,3.0,Medium
1133,49,Male,PhD,Finance,28,102270,16,7,278,3.1,8,3,1.1,4.9,1.67,Low
1134,41,Male,Bachelor,Marketing,19,71754,17,16,253,4.6,7,9,4.0,1.5,2.36,Low
1135,51,Male,Master,Sales,28,88007,41,1,223,2.9,7,26,1.7,2.6,1.43,Low
1136,32,Female,Bachelor,Finance,11,58703,16,12,161,3.3,0,15,3.4,2.1,1.66,Low
1137,49,Female,Bachelor,Sales,25,76224,15,19,223,2.5,4,3,3.8,1.5,2.21,Low
1138,46,Male,Bachelor,Finance,23,76099,84,9,186,3.5,5,1,2.5,4.4,2.94,Medium
1139,54,Female,High School,Finance,34,85484,87,16,241,2.3,8,1,3.5,3.8,3.34,Medium
1140,22,Male,Bachelor,Marketing,0,41487,97,7,219,2.5,9,12,4.1,2.6,3.42,Medium
1141,48,Male,Bachelor,Marketing,27,83417,51,15,164,4.9,9,10,1.7,2.5,2.75,Medium
1142,34,Female,High School,Marketing,11,46009,35,12,230,1.4,5,9,3.4,4.3,2.42,Low
1143,24,Female,Bachelor,Finance,0,40400,90,4,206,1.4,0,24,3.9,1.4,2.15,Low
1144,27,Female,Bachelor,Finance,3,43820,38,6,179,1.2,0,5,2.4,1.6,1.42,Low
1145,29,Male,Bachelor,Sales,9,57869,80,6,169,2.3,6,6,1.6,4.6,2.8,Medium
1146,48,Female,Bachelor,HR,26,79472,24,15,198,2.6,2,26,2.1,4.3,1.88,Low
1147,30,Male,Master,Marketing,9,65706,41,3,167,1.4,6,26,4.7,4.1,2.31,Low
1148,58,Male,Bachelor,Operations,37,97372,20,2,186,3.2,4,14,2.4,3.5,1.51,Low
1149,54,Male,Bachelor,Sales,32,90923,67,5,256,3.3,0,19,1.4,2.2,2.48,Low
1150,45,Female,Master,Sales,21,81216,88,8,222,4.0,7,18,1.3,4.7,2.86,Medium
1151,36,Female,Bachelor,Engineering,12,60118,58,19,196,4.9,8,2,1.7,3.0,2.91,Medium
1152,53,Male,Master,Marketing,30,92620,29,21,268,3.5,5,20,1.5,2.1,2.31,Low
1153,53,Male,Master,Sales,33,97036,56,16,168,1.4,1,26,3.0,2.5,1.76,Low
1154,45,Female,High School,Engineering,25,67603,32,19,203,1.4,8,13,2.4,1.1,1.53,Low
1155,33,Female,High School,Operations,13,51580,89,23,238,4.1,1,21,4.4,2.0,3.78,High
1156,23,Male,PhD,Operations,0,65317,88,16,176,3.6,5,29,4.5,1.8,3.52,High
1157,24,Female,Bachelor,Marketing,4,42195,52,6,267,1.6,9,1,2.9,1.5,1.69,Low
1158,58,Male,Master,Finance,36,107699,15,22,274,2.0,3,22,4.6,1.1,2.52,Medium
1159,38,Female,Bachelor,Engineering,15,57904,48,1,229,4.0,5,15,2.8,1.9,1.9,Low
1160,23,Male,Bachelor,Finance,1,37794,87,18,226,3.3,3,22,3.6,1.4,3.09,Medium
1161,23,Male,Bachelor,Operations,0,41054,4,22,203,3.3,2,16,1.7,1.2,1.95,Low
1162,49,Female,Bachelor,Operations,29,82125,76,8,157,1.8,7,14,1.2,1.5,2.38,Low
1163,44,Female,Bachelor,HR,22,75868,93,5,168,3.5,4,29,1.6,1.8,2.6,Medium
1164,58,Male,Master,HR,36,101819,59,12,253,4.1,0,28,2.0,2.7,2.45,Low
1165,53,Male,Master,HR,31,96259,70,18,199,4.5,7,12,4.0,3.3,4.22,High
1166,54,Male,Master,HR,31,97245,80,5,193,3.9,2,28,1.7,2.3,2.33,Low
1167,22,Male,Bachelor,Sales,1,44064,54,22,211,3.3,3,28,1.5,1.6,2.45,Low
1168,40,Female,Master,HR,20,78637,90,13,197,3.7,8,11,4.7,4.8,3.82,High
1169,23,Male,Master,Sales,1,48373,34,21,175,2.9,2,6,3.8,3.1,2.7,Medium
1170,47,Female,Master,Sales,26,85406,68,22,219,1.9,4,28,2.9,4.0,3.33,Medium
1171,53,Male,Bachelor,Marketing,33,90014,41,12,154,4.5,7,19,1.4,3.8,2.49,Low
1172,27,Other,Master,Sales,7,57077,68,16,179,3.1,5,19,4.4,2.1,3.12,Medium
1173,53,Male,Bachelor,Sales,31,89272,23,14,220,3.4,2,2,1.4,3.2,1.38,Low
1174,25,Male,Bachelor,HR,3,44879,70,11,190,5.0,7,8,3.4,3.4,3.31,Medium
1175,32,Male,PhD,Sales,9,78811,70,9,236,4.9,4,2,3.7,2.4,3.01,Medium
1176,38,Female,High School,Finance,17,59328,54,23,256,3.3,5,15,2.6,3.7,3.1,Medium
1177,59,Male,Bachelor,HR,38,97547,13,10,272,1.1,2,19,4.6,4.2,1.6,Low
1178,45,Male,Master,Engineering,23,80307,54,16,141,2.6,7,2,1.2,2.5,2.32,Low
1179,26,Female,High School,HR,6,36395,14,19,254,4.7,3,7,4.3,1.1,2.68,Medium
1180,55,Female,Master,Sales,33,99024,4,10,217,2.2,8,7,3.2,2.4,1.56,Low
1181,27,Female,Master,Finance,7,56915,3,21,232,5.0,4,25,3.4,1.5,2.58,Medium
1182,43,Male,High School,HR,23,67008,29,4,216,1.3,0,23,4.9,1.6,1.59,Low
1183,32,Male,Bachelor,Finance,10,52449,83,21,199,3.3,8,14,3.3,2.5,3.48,Medium
1184,37,Female,Master,Engineering,13,67996,52,8,235,3.1,7,4,4.2,1.8,2.75,Medium
1185,54,Male,Bachelor,Operations,33,91603,89,11,237,2.0,4,12,1.6,4.7,3.11,Medium
1186,30,Male,PhD,Engineering,10,79732,72,6,195,4.8,2,14,4.2,3.6,3.04,Medium
1187,27,Male,Master,Operations,7,62522,29,4,257,3.5,8,6,4.0,3.1,2.12,Low
1188,37,Other,Bachelor,Marketing,13,61995,85,21,258,1.9,6,11,4.9,1.0,3.56,High
1189,50,Male,High School,Operations,27,74206,93,23,177,2.5,7,2,4.7,1.4,3.21,Medium
1190,24,Female,PhD,Marketing,0,65099,83,24,241,3.9,2,7,1.9,4.2,3.51,High
1191,41,Male,Bachelor,HR,17,67832,91,5,190,2.2,5,9,2.9,2.6,2.48,Low
1192,57,Female,High School,Marketing,37,83794,60,18,266,4.5,3,1,4.6,1.2,2.97,Medium
1193,40,Female,Master,Finance,19,76408,70,22,242,1.7,2,7,3.6,4.3,3.26,Medium
1194,47,Male,Master,Marketing,23,84916,67,3,268,2.1,3,21,2.9,2.2,2.33,Low
1195,24,Male,Bachelor,Finance,1,46058,91,7,224,1.6,1,17,1.4,2.5,1.61,Low
1196,40,Female,Bachelor,Operations,18,70532,54,24,242,1.4,4,11,2.4,4.9,2.76,Medium
1197,41,Male,Master,Operations,17,80252,98,22,157,2.2,7,21,3.7,1.1,3.13,Medium
1198,53,Female,Master,Operations,29,94170,96,12,166,5.0,4,26,4.1,3.9,4.13,High
1199,28,Female,Master,Marketing,5,54968,70,3,231,1.4,1,25,2.8,4.8,1.76,Low
1200,54,Female,PhD,Operations,33,111928,72,17,211,1.9,6,17,1.2,1.3,2.45,Low
1201,39,Male,Bachelor,Marketing,15,61188,97,3,234,2.1,7,18,3.5,4.5,2.75,Medium
1202,22,Male,Master,Marketing,0,51148,41,11,215,3.5,3,26,4.7,2.7,2.59,Medium
1203,32,Female,PhD,Sales,11,78527,97,6,145,4.0,2,4,3.0,4.5,3.71,High
1204,49,Male,Bachelor,Sales,26,81171,76,11,229,4.0,7,15,4.7,2.2,3.06,Medium
1205,46,Other,High School,Marketing,22,58315,28,4,219,1.0,9,16,2.4,4.9,1.66,Low
1206,44,Other,Master,Finance,23,83489,34,17,222,3.6,1,8,4.5,3.6,3.01,Medium
1207,52,Male,Bachelor,HR,28,86293,44,22,221,3.5,6,9,4.1,3.5,3.26,Medium
1208,51,Male,High School,Engineering,29,69030,73,1,184,3.1,9,18,4.8,4.2,2.45,Low
1209,56,Male,Bachelor,Sales,36,96884,93,12,210,2.5,7,28,4.2,2.7,2.99,Medium
1210,28,Female,Bachelor,Marketing,6,45859,89,24,146,4.2,4,11,2.3,2.0,3.6,High
1211,37,Male,Bachelor,Engineering,13,59257,98,3,265,2.4,6,0,4.6,2.1,2.35,Low
1212,47,Male,Bachelor,Sales,24,78872,91,16,197,1.9,8,21,3.7,2.3,3.14,Medium
1213,23,Female,PhD,HR,3,73911,28,3,196,2.2,7,16,1.6,3.5,1.82,Low
1214,22,Male,Master,Finance,0,54958,69,14,250,2.8,4,2,1.2,4.4,2.88,Medium
1215,33,Male,Master,Marketing,12,64067,2,17,195,1.9,3,6,2.5,3.0,1.46,Low
1216,26,Male,High School,HR,3,30227,92,19,151,3.4,2,19,4.1,2.6,3.24,Medium
1217,58,Female,Master,Sales,36,99243,56,7,232,4.5,5,8,3.5,4.2,2.27,Low
1218,53,Male,Master,Marketing,32,102977,65,24,154,3.4,3,22,3.1,2.2,2.96,Medium
1219,30,Female,Master,Engineering,6,54711,21,11,147,2.8,3,4,1.0,3.8,1.68,Low
1220,56,Female,Bachelor,Operations,35,95424,26,16,192,4.2,6,8,2.7,1.4,2.33,Low
1221,40,Male,Bachelor,Finance,18,71700,21,24,276,4.0,9,18,1.6,1.5,2.64,Medium
1222,37,Female,Master,Sales,15,75962,73,19,231,2.5,4,10,2.8,3.6,2.9,Medium
1223,24,Male,Master,Finance,0,54989,48,5,146,3.4,0,13,5.0,1.3,2.44,Low
1224,41,Male,Master,Marketing,20,77560,82,1,183,3.9,4,13,4.5,1.6,2.63,Medium
1225,45,Male,Bachelor,Operations,24,76139,23,24,153,2.0,5,7,2.2,3.5,2.17,Low
1226,54,Female,Bachelor,HR,30,83560,26,10,214,2.5,0,23,3.4,2.8,2.39,Low
1227,45,Male,Master,Finance,24,85003,35,18,254,1.4,2,19,3.0,3.2,2.46,Low
1228,32,Male,High School,Engineering,8,39177,16,10,231,5.0,5,0,1.5,4.9,2.23,Low
1229,29,Male,Master,Sales,6,54837,55,1,273,1.3,6,3,5.0,3.5,2.37,Low
1230,57,Male,PhD,Engineering,35,116214,9,13,212,1.7,6,15,2.7,3.4,1.7,Low
1231,59,Male,Master,Finance,36,102078,53,4,269,2.9,6,24,3.0,2.5,2.18,Low
1232,41,Female,Bachelor,Operations,21,76468,80,12,170,4.5,8,25,3.6,3.5,2.83,Medium
1233,56,Male,Bachelor,HR,36,94032,73,24,265,2.4,1,0,1.8,1.1,2.68,Medium
1234,46,Female,Master,HR,26,85650,73,16,258,4.1,2,18,1.9,3.2,3.09,Medium
1235,56,Male,Master,Engineering,32,95948,37,19,166,3.7,6,23,1.8,1.3,1.91,Low
1236,46,Female,Bachelor,Marketing,25,75020,80,12,249,3.6,5,2,2.5,1.9,2.92,Medium
1237,50,Female,Bachelor,Marketing,27,82769,89,6,245,4.4,0,1,1.8,3.3,2.89,Medium
1238,39,Male,Bachelor,Operations,16,66597,89,16,259,1.1,9,16,4.7,3.7,3.11,Medium
1239,39,Male,Master,HR,16,78364,97,12,221,4.7,6,24,3.9,2.5,3.7,High
1240,23,Female,Master,Engineering,0,45362,3,24,191,4.3,1,10,4.6,2.7,3.68,High
1241,56,Female,PhD,Engineering,36,122841,49,10,153,4.8,3,25,4.4,3.0,2.9,Medium
1242,37,Male,Bachelor,Engineering,14,58256,90,5,159,4.2,6,2,3.8,4.0,3.26,Medium
1243,57,Female,Master,Finance,36,106352,60,19,257,4.5,3,6,2.0,1.1,3.4,Medium
1244,54,Female,Bachelor,Operations,34,95327,20,12,191,1.8,5,9,3.5,2.8,2.3,Low
1245,25,Male,Bachelor,Marketing,2,42358,35,8,240,2.3,8,2,1.7,1.1,2.15,Low
1246,54,Female,Master,Marketing,30,95297,45,4,179,2.3,4,28,1.5,2.3,1.59,Low
1247,35,Male,Bachelor,Finance,13,59361,94,7,207,1.4,2,7,3.5,3.1,2.91,Medium
1248,42,Female,Bachelor,Sales,20,65875,70,24,183,3.9,5,24,3.5,1.3,3.15,Medium
1249,41,Male,Master,Finance,19,79455,43,23,273,1.5,3,27,1.6,2.9,2.22,Low
1250,29,Female,Bachelor,Operations,9,55629,63,5,226,1.2,8,23,2.4,4.7,2.13,Low
1251,28,Male,High School,Engineering,5,36351,97,11,259,4.1,1,4,1.3,3.7,3.31,Medium
1252,24,Male,Bachelor,Finance,4,50344,17,17,196,4.6,9,26,3.9,4.1,2.82,Medium
1253,38,Female,Bachelor,Engineering,17,68305,87,24,211,4.1,4,9,4.9,3.3,4.44,High
1254,54,Female,Master,Operations,30,96656,12,21,191,4.3,8,11,4.0,4.6,3.22,Medium
1255,33,Female,Bachelor,Operations,9,50422,12,3,150,3.4,9,17,4.4,1.6,1.77,Low
1256,43,Male,Master,HR,21,85320,24,2,144,4.6,6,5,2.9,2.8,2.16,Low
1257,43,Male,Bachelor,Engineering,21,76416,4,19,270,3.0,4,7,1.4,3.4,1.94,Low
1258,51,Male,Bachelor,Marketing,29,79628,38,2,269,5.0,7,17,3.9,4.5,2.35,Low
1259,59,Female,Bachelor,Finance,36,93561,28,14,141,1.4,1,5,2.0,2.2,2.08,Low
1260,59,Male,Master,Operations,38,110955,56,1,233,4.2,3,22,2.6,1.0,2.24,Low
1261,29,Female,Bachelor,Engineering,8,48019,45,16,266,3.6,5,29,3.8,4.9,2.65,Medium
1262,48,Male,Master,Sales,27,90524,32,15,265,3.3,6,8,4.6,1.1,2.12,Low
1263,48,Female,Bachelor,HR,27,83074,87,18,180,3.9,7,15,2.9,1.6,3.35,Medium
1264,55,Female,PhD,Sales,33,113427,9,2,169,4.4,3,10,4.8,2.7,2.02,Low
1265,42,Female,Master,Operations,18,74841,57,11,183,4.5,8,24,3.1,3.0,2.47,Low
1266,51,Male,Master,Sales,29,93977,24,21,149,1.7,6,29,1.5,4.3,1.63,Low
1267,54,Female,Master,Sales,33,103366,73,17,169,1.8,1,1,3.1,2.8,2.69,Medium
1268,49,Male,Bachelor,HR,27,76508,38,13,214,1.1,8,16,4.4,3.2,2.26,Low
1269,54,Male,Master,HR,33,95726,15,12,188,1.5,6,12,3.2,1.8,1.53,Low
1270,26,Male,Bachelor,HR,6,45635,59,24,209,2.1,4,6,4.0,3.3,2.76,Medium
